Index,demand
0,0.18815927
1,0.039060414
2,0.05769369
3,0.058006346
4,0.05929062
5,0.033075962
6,0.05501982
7,0.09447141
8,0.056305226
9,0.13699012
10,0.06251515
11,0.25063077
12,0.25365147
13,0.020752829
14,0.075147614
15,0.06820849
16,0.08797849
17,0.036928605
18,0.10373484
19,0.06576352
20,0.01919712
21,0.010618383
22,0.05426826
23,0.086938605
24,0.4279213
25,0.08632328
26,0.029574525
27,0.10119722
28,0.029878043
29,0.003702213
30,0.025776822
31,0.036267098
32,0.010019866
33,0.11010127
34,0.25374207
35,0.38472837
36,0.08320332
37,0.066559516
38,0.09103103
39,0.12090151
40,0.011616043
41,0.014096538
42,0.056142706
43,0.054139044
44,0.034146447
45,0.042196285
46,0.060068868
47,0.47990522
48,0.10140595
49,0.054998167
50,0.26049012
51,0.116535306
52,0.038100712
53,0.10038031
54,0.027883524
55,0.050385743
56,0.08013808
57,0.025173752
58,0.023444949
59,0.027805349
60,0.0077523575
61,0.040152818
62,0.09767778
63,0.109291054
64,0.02854733
65,0.43213186
66,0.013543294
67,0.024733989
68,0.045155864
69,0.028731467
70,0.019890253
71,0.028905464
72,0.0121900095
73,0.104188934
74,0.05585028
75,0.019839965
76,0.034955963
77,0.09733956
78,0.14020905
79,0.019383797
80,0.036530163
81,0.019512516
82,0.01341588
83,0.033451147
84,0.081644654
85,0.05865657
86,0.14715606
87,0.4109052
88,0.057565715
89,0.046831388
90,0.012425158
91,0.018962648
92,0.09656154
93,0.1247711
94,0.18242113
95,0.03041619
96,0.09832694
97,0.043689217
98,0.019261338
99,0.01570657
100,0.02268433
101,0.04256104
102,0.03850895
103,0.10478814
104,0.04596072
105,0.052880112
106,0.008183054
107,0.07476404
108,0.43468705
109,0.027300311
110,0.045936935
111,0.051139873
112,0.05594402
113,0.03490135
114,0.017723063
115,0.10204647
116,0.12656213
117,0.08708857
118,0.06424304
119,0.06790172
120,0.009643391
121,0.02741543
122,0.023949262
123,0.025004797
124,0.015303558
125,0.052480653
126,0.07805587
127,0.23355743
128,0.0626853
129,0.28733245
130,0.05083725
131,0.027418984
132,0.020414392
133,0.035069294
134,0.0322943
135,0.037002802
136,0.10790552
137,0.12179207
138,0.276071
139,0.04894978
140,0.04627074
141,0.07395586
142,0.04914809
143,0.03880535
144,0.07704157
145,0.021156188
146,0.016383354
147,0.02279437
148,0.07727838
149,0.036862746
150,0.030546393
151,0.033104397
152,0.06622426
153,0.06626361
154,0.14377818
155,0.1563631
156,0.2572189
157,0.086802624
158,0.03860537
159,0.026744315
160,0.044950344
161,0.03342399
162,0.06308743
163,0.062595546
164,0.6699153
165,0.13221854
166,0.021336652
167,0.11060017
168,0.059052806
169,0.051850084
170,0.046158053
171,0.019644277
172,0.009330519
173,0.06562114
174,0.01894944
175,0.023032274
176,0.079758614
177,0.038528178
